decade,year,Brighton,CourtWoodlawn,Downtown,Eastwood,Elmwood,FarWestside,FranklinSquare,HawleyGreen,Lakefront,LincolnHill,Meadowbrook,NearEastside,NearWestside,NorthValley,Northside,OuterComstock,ParkAve,ProspectHill,SaltSprings,Sedgwick,SkunkCity,SouthCampus,SouthValley,Southside,Southwest,Strathmore,TippHill,UniversityHill,UniversityNeighborhood,WashingtonSquare,Westcott,Winkworth
1900-1910,1905,48304,98740,1133387,92879,61703,115192,136157,74182,72600,83666,65749,44646,26000,57222,86518,76202,69000,66000,42499,93538,63783,NA,68689,25340,20909,76904,111339,103063,98085,75123,86624,91953
1910-1920,1915,30119,98332,867037,99579,63895,112463,217083,98714,70795,93456,70261,39743,22442,60608,87011,83130,69771,102535,61927,92794,67226,NA,79005,24007,20909,89282,107351,98285,98272,79860,82284,75273
1920-1930,1925,41123,97662,989881,106793,59400,108900,170753,126508,81557,89993,82335,46200,21000,61976,89044,83460,76589,116827,61785,131115,62047,80891,89731,25335,20909,95789,111339,102102,91753,75972,82987,77274
1930-1940,1935,60790,97607,526048,107291,63219,139370,207755,130122,157878,91817,85487,45328,109483,59651,107875,80044,125203,188010,62042,137763,65709,88832,81169,29186,44022,91467,112241,174388,118114,120730,86625,90882
1940-1950,1945,53590,85800,653374,111393,57575,120218,217017,130772,108723,92871,83872,79261,128135,54029,97186,81659,118770,281511,63818,129293,67216,88832,75929,70857,43560,92048,106655,217604,82851,101333,78627,91825
1950-1960,1955,53827,90257,682225,101746,62871,103485,173664,130985,98387,88549,82371,94455,86871,54457,89681,80886,130256,175331,65890,129048,66206,79308,75299,63642,67637,89518,97546,259165,79717,80755,79206,84875
1960-1970,1965,54811,90285,865691,111171,64036,108522,228123,130886,113671,93118,74582,173089,96819,54792,104239,84606,113631,174137,71090,117273,66031,80156,75007,110523,91994,93290,107308,252342,79640,81939,76544,81452
1970-1980,1975,64515,89760,762176,119216,72974,115429,200834,133790,103757,124010,86302,100387,133402,71461,98687,84749,119031,261705,69490,131336,74796,92669,67253,199202,98372,37302,129288,346160,107619,73143,74952,80681
1980-1990,1985,24369,83494,871052,100323,69275,109261,196007,88452,156555,91494,78241,173898,19181,60620,115083,96643,110340,261333,76894,119647,58079,77270,71946,23674,17882,98639,66308,237600,85222,130467,70824,100815
1990-2000,1995,30036,88356,636783,104113,69300,77247,174846,51344,124644,71134,65181,44329,17820,63598,105232,59003,235442,261732,71091,155226,58028,NA,107987,17897,18676,76000,162477,435656,82390,72236,60178,66562
2000-2010,2005,43812,22476,900709,82499,36240,126329,NA,63894,218983,81390,64637,42885,17962,85071,91759,130664,82877,65342,131331,NA,64967,217578,40526,17482,20892,87111,112790,871778,89604,139303,86828,90049
2010-2020,2015,17649,NA,922174,73333,NA,NA,217367,NA,NA,131170,NA,130003,23976,63746,NA,NA,47256,52640,45186,NA,49132,NA,67723,16291,17426,NA,NA,760044,NA,204506,120868,NA
